nomem_encr;nohouse_encr;wave;geslacht;gender;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
800001;535121;202207;1;1;1;1961;61;6;61;2;0;1;5;2;1;3;4;-13;2247,016362;1588;1588;1588;13;4;3625,836483;2636;5;5;5;1;10;201;0
800002;521889;202207;1;1;1;1976;45;5;45;6;4;1;1;3;1;4;1;4250;4250;2700;2700;2700;9;6;6520;4180;4;4;4;1;10;0;0
800009;559835;202207;1;999;1;1955;67;7;67;2;0;1;1;2;1;5;1;-13;4314,02756;3100;3100;3100;13;7;6278,449811;4500;5;5;5;1;7;0;0
800015;568664;202207;1;999;1;1962;59;6;59;3;1;1;1;3;1;1;1;4519;4519;3005;3005;3005;10;7;4813,454229;3255;6;6;6;1;3;102;0
800028;542295;202207;1;1;1;1950;71;7;71;2;0;1;1;2;1;1;9;-13;3432,794046;2600;2600;2600;13;6;4582,672777;3600;6;3;3;1;10;0;0
800041;554273;202207;1;999;5;1997;24;2;45;5;3;1;5;3;1;5;1;-13;3391,22695;2250;-13;2250;13;5;9660,696109;6500;5;5;5;0;9; ;0
800057;580532;202207;1;999;3;1975;47;5;46;5;3;1;5;3;1;1;1;8000;8000;4250;-13;4250;12;9;16500;9000;6;6;6;1;2;0;0
800058;580573;202207;2;999;1;1997;24;2;24;1;0;0;5;1;2;1;7;700;700;750;-13;750;2;2;700;750;6;5;5;1;9;0;0
800085;545773;202207;1;999;1;1977;45;5;45;1;0;0;5;1;1;5;1;3360;3360;2250;-13;2250;7;5;3360;2250;5;4;4;1;7;0;0
800091;515359;202207;1;999;1;1983;38;4;38;2;0;1;5;2;1;4;1;2300;2300;1950;1950;1950;5;4;7236;4900;4;4;4;0;99; ;0
800100;518099;202207;2;999;2;1990;31;3;36;3;1;1;1;3;2;1;1;2000;2000;1800;1800;1800;4;4;3845;3330;4;4;4;1;7;102;0
800106;577294;202207;1;999;5;2008;14;1;54;4;2;1;5;3;1;3;7;0;0;0;0;0;0;0;7772;5400;1;8;1;1;2; ;0
800119;537783;202207;2;999;1;1950;72;7;72;4;2;1;1;3;2;3;9;-13;548,5479617;500;500;500;13;1; ; ;2;2;2;1;2;101;0
800126;587801;202207;1;999;1;1966;56;6;56;3;1;1;1;3;1;1;2;-13; ;-14;-13; ;13;14; ; ;6;6;6;0;9; ;0
800127;526726;202207;2;999;1;1983;38;4;38;1;0;0;3;1;1;1;1;3000;3000;2100;2100;2100;6;5;3000;2100;5;4;4;1;9;0;0
800128;596466;202207;2;999;1;1996;26;3;26;3;0;0;5;5;2;3;1;-13;1211,502568;900;900;900;13;2;6305,452422;4750;2;2;2;1;8;0;0
800131;537240;202207;2;999;1;1954;68;7;68;2;0;1;1;2;1;5;9;-13; ;-14;-13; ;13;14; ; ;4;4;4;1;3;0;0
800136;572724;202207;1;1;1;1962;60;6;60;4;2;1;1;3;1;2;1;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;10;0;0
800156;573442;202207;2;2;3;1974;48;5;56;5;3;1;3;3;1;2;1;-13;2288,379878;1600;1600;1600;13;4;12295,80312;8400;4;2;2;1;10;0;0
800161;561404;202207;1;999;1;1970;52;5;52;3;1;1;3;3;1;4;3;-13;8612,544493;5000;5000;5000;13;10;11571,12727;7000;5;5;5;1;2;0;1
800162;526501;202207;2;999;5;2011;11;1;39;3;2;0;5;4;2;1;7;0;0;0;0;0;0;0;2550;2100;1;8;1;1;10; ;0
800170;520571;202207;2;999;1;1958;63;6;63;2;1;0;3;4;1;2;1;2938;2938;2100;2100;2100;6;5;5238;4200;4;4;4;1;2;0;0
800182;560835;202207;2;2;3;1986;36;4;33;2;0;1;5;2;1;3;1;-13;2924,411462;1980;1980;1980;13;4; ; ;6;5;5;1;10;0;0
800186;534976;202207;2;999;1;1939;83;7;83;2;0;0;4;5;1;3;8;-13;2185,646544;1750;-13;1750;13;4;4227,646544;3500;2;2;2;1;2;0;0
800192;531591;202207;2;999;5;2003;19;2;51;4;2;1;5;3;1;3;7;0;0;0;0;0;0;0;8365,442702;5350;4;2;2;0;2;0;0
800201;529760;202207;1;999;2;1973;49;5;49;2;0;1;1;2;2;4;1;2200;2200;1900;1900;1900;5;4;4600;3850;4;4;4;1;2;0;0
800204;555221;202207;1;999;1;1942;80;7;80;2;0;1;1;2;1;2;9;1973;1973;1559;1559;1559;4;4;2784;2273;2;2;2;1;2; ;0
800212;553187;202207;2;2;1;1994;27;3;27;1;0;0;1;1;1;4;7;-13;2512,096244;1750;-13;1750;13;4;2512,096244;1750;5;5;5;1;10;0;0
800213;560256;202207;1;999;9;1917;104;7;79;3;0;1;4;2;1;5;9;0;0;0;0;0;0;0;8200;5850;3;3;3;0;3; ;0
800215;594257;202207;2;999;1;1992;30;3;30;2;0;1;1;2;2;1;1;5600;5600;3600;3600;3600;11;8;12000;7700;5;5;5;1;9;0;0
800216;598019;202207;1;999;1;1958;64;6;64;2;0;1;1;2;1;5;10;3500;3500;2315;2315;2315;7;5;7125;4790;4;4;4;1;8;0;0
800228;568560;202207;1;999;1;1952;69;7;69;2;0;1;1;2;1;2;9;4800;4800;3000;3000;3000;10;6;6661,864204;4540;6;6;6;1;2;0;0
800239;551681;202207;1;999;5;2004;18;2;47;4;3;0;5;4;1;2;7;250;250;250;250;250;1;1;3250;2600;3;1;1;1;9;0;0
800257;530808;202207;1;999;5;2005;17;2;59;4;2;1;5;3;1;2;7;0;0;0;0;0;0;0; ; ;2;2;2;0;10; ;0
800274;523678;202207;2;999;2;1980;42;4;47;3;1;1;1;3;1;5;1;-13;3478,943411;2300;2300;2300;13;5;7184,949323;4800;4;4;4;0;6;0;0
800289;539959;202207;2;999;2;1953;68;7;68;2;0;1;1;2;1;4;9;-13;1807,538909;1500;1500;1500;13;3;3644,332812;3000;2;2;2;1;3;0;0
800300;572646;202207;1;1;1;1963;58;6;58;2;0;1;1;2;1;5;1;4250;4250;2611;2611;2611;9;6;6565;4311;5;5;5;1;10;0;0
800309;573933;202207;1;999;3;1981;41;4;42;6;4;1;5;3;2;3;5;0;0;0;0;0;0;0;2050;2050;2;1;1;0;9; ;0
800329;596481;202207;1;999;1;1957;65;7;65;2;0;1;1;2;1;3;9;-13;2908,644755;2250;-13;2250;13;5;5279,222513;3900;5;5;5;0;1; ;0
800360;547378;202207;1;999;1;1952;70;7;70;2;0;1;1;2;1;2;9;-13;2615,623285;2050;2050;2050;13;5;3829,348361;3100;5;5;5;1;2;0;0
800372;590005;202207;1;999;1;1990;32;3;32;1;0;0;3;1;2;4;1;3309;3309;2655;2655;2655;7;6;3309;2655;5;4;4;1;99;0;0
800380;563251;202207;1;999;5;2003;19;2;55;4;2;1;5;3;1; ;1;1500;1500;1400;1400;1400;3;3;9216;7300;7;7;1;1;10; ;0
800392;519542;202207;1;999;1;1962;59;6;59;3;1;1;1;3;1;5;4;3294;3294;2183;2183;2183;7;5;5994;4083;4;4;4;1;9;0;0
800394;599529;202207;1;999;5;1989;32;3;70;3;1;1;5;3;1;1;1;-13;3391,22695;2250;-13;2250;13;5;7591,22695;5721;2;2;2;0;9; ;0
800405;528805;202207;1;999;5;1995;26;3;58;3;1;1;5;3;1;4;1;1900;1900;1650;1650;1650;4;4;7800;5350;7;4;4;0;2; ;0
800417;589894;202207;2;999;2;1978;44;4;42;4;2;1;1;3;1;5;1;2000;2000;1500;1500;1500;4;3;9500;5500;4;4;4;0;10; ;0
