nomem_encr;cd22o_m;cd22o091;cd22o092;cd22o003;cd22o005;cd22o093;cd22o008;cd22o009;cd22o010;cd22o088;cd22o012;cd22o013;cd22o014;cd22o015;cd22o083;cd22o018;cd22o019;cd22o020;cd22o021;cd22o024;cd22o025;cd22o026;cd22o027;cd22o028;cd22o029;cd22o030;cd22o094;cd22o033;cd22o034;cd22o035;cd22o036;cd22o038;cd22o039;cd22o041;cd22o089;cd22o042;cd22o043;cd22o044;cd22o045;cd22o046;cd22o047;cd22o048;cd22o049;cd22o050;cd22o090;cd22o051;cd22o052;cd22o053;cd22o054;cd22o058;cd22o060;cd22o061;cd22o062;cd22o063;cd22o095;cd22o066;cd22o084;cd22o085;cd22o069;cd22o096;cd22o072;cd22o073;cd22o074;cd22o075;cd22o076;cd22o077;cd22o078;cd22o079;cd22o080;cd22o081;cd22o082
800002;202207;9;9;3; ; ; ; ; ; ; ; ;2007;2; ; ; ; ; ;380000;210000;1; ;346000;2021;2; ; ;6;2;2007;3;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;2;4;2;4;3;19/07/2022;21:51:33;19/07/2022;22:05:37;844
800015;202207;6;8;3; ; ; ; ; ; ; ; ;1996;1;89000;1;3000;1;1968;420000;94463;1;2;404000;2021;3; ; ;5;2;1996;4;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;3;3;1;17/07/2022;15:21:25;17/07/2022;15:29:48;503
800057;202207;9;8;3; ; ; ; ; ; ; ; ;2013;1;580000;1;-9;1;-9;1300000;605000;1;2;1200000;2022;3; ; ;12;2;2013;4;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;2;4;3;3;3;05/07/2022;12:11:24;05/07/2022;12:16:39;315
800127;202207;3;0;3; ; ; ; ; ; ; ; ;2015;1;-9;2; ;1;-9;300000;140000;1;3;219000;2021;1;1;145;3;2;2015;5;1;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;4;5;5;12/07/2022;23:51:03;12/07/2022;23:59:02;479
800156;202208;10;8;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;2;1992;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;3;3;16/08/2022;12:34:10;16/08/2022;12:37:15;185
800170;202207;5;4;3; ; ; ; ; ; ; ; ;1991;2; ; ; ; ; ;275;75000;1;1;180;2022;3; ; ;5;2;1991;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;4;5;5;11/07/2022;14:31:56;11/07/2022;14:34:53;177
800182;202207;8;10;3; ; ; ; ; ; ; ; ;2021;1;-9;1;-9;1;-9;450000;380000;1;1;-9; ;3; ; ;5;2;2021;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;3;2;2;11/07/2022;12:42:52;11/07/2022;12:46:57;245
800186;202207;8;8;3; ; ; ; ; ; ; ; ;1964;2; ; ; ; ; ;225000;29000;2;3;225000;2021;2; ; ;4;2;1964;4;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;4;4;4;4;4;11/07/2022;15:51:28;11/07/2022;15:55:47;259
800201;202207;8;8;1; ;1;930;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;2;2012;4;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;3;3;04/07/2022;14:13:52;04/07/2022;14:19:23;331
800204;202207;10;9;3; ; ; ; ; ; ; ; ;1976;1;145000;2; ;1;-9;280000;108000;2;3;220000;2022;2; ; ;5;2;1976;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;2;4;3;17/07/2022;19:00:14;17/07/2022;19:10:32;618
800212;202207;8;8;3; ; ; ; ; ; ; ; ;2017;1;-8;1;-8;-9; ;-9; ; ; ;-9; ;2; ; ;7;2;2017;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;2;3;4;11/07/2022;13:52:28;11/07/2022;13:56:47;259
800216;202207;9;7;3; ; ; ; ; ; ; ; ;2000;1;158000;1;3276;1;6002;450000;150000;1;1;201000;2022;2; ; ;6;1;2000;3;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;4;2;4;4;11/07/2022;16:33:26;11/07/2022;17:12:43;2357
800228;202207;8;8;3; ; ; ; ; ; ; ; ;2012;1;212500;2; ;1;8300;850000;420000;1;2;520000;2021;2; ; ;6;2;2012;3;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;2;4;2;2;2;04/07/2022;16:28:56;04/07/2022;16:32:50;234
800289;202207;8;8;3; ; ; ; ; ; ; ; ;2004;1;56000;2; ;1;-9;195000;110000;1;1;115000;2022;3; ; ;4;2;2004;4;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;5;5;5;04/07/2022;21:29:52;15/07/2022;13:03:24;920012
800300;202207;10;10;3; ; ; ; ; ; ; ; ;2009;1;366000;2; ;1;-9;460000;295000;1; ;285000;2020;2; ; ;9;2;2010;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;5;5;26/07/2022;17:11:52;26/07/2022;17:16:34;282
800372;202207;8;8;1; ;1;1330;1;125; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;2021;5;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;3;3;3;3;3;11/07/2022;13:15:28;11/07/2022;13:18:49;201
800392;202207;8;5;3; ; ; ; ; ; ; ; ;1986;1;169000;2; ;1;3500;400000;65900;1;3;315000;2021;3; ; ;6;2;1986;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;5;5;15/07/2022;11:22:04;15/07/2022;11:29:51;467
800440;202207;10;10;3; ; ; ; ; ; ; ; ;2021;1;670000;1;20000;1;-9;1200000;950000;1;4;450000;2022;2; ; ;5;2;2021;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;5;5;12/07/2022;17:45:07;12/07/2022;17:53:02;475
800463;202208;7;8;2; ;1;525;1;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2019;9;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;5;4;4;01/08/2022;13:15:47;01/08/2022;13:16:28;41
